"Time (s)","Sound pressure level (dB)"
0.000000000E0,-7.335373921E1
1.915223333E-1,не число
2.970738333E-1,-7.039111327E1
3.998205417E-1,-6.363278096E1
5.056208750E-1,-6.355289323E1
6.126334167E-1,-6.394851838E1
7.181085833E-1,-6.216628743E1
8.207324167E-1,-6.309139394E1
9.267014167E-1,-6.527224769E1
1.033475875E0,-6.582031342E1
1.136579000E0,-6.624132060E1
1.243863875E0,-6.487978753E1
1.346723333E0,-6.714973585E1
1.452578833E0,-6.519753029E1
1.555123750E0,-6.590322586E1
1.661822292E0,-6.616891097E1
1.768123542E0,-6.581753451E1
1.873573125E0,-6.600670734E1
1.980281833E0,-6.705281710E1
2.084735208E0,-6.556995476E1
2.189101833E0,-6.667840831E1
2.291586958E0,-6.722110784E1
2.398382833E0,-6.696414235E1
2.501420542E0,-6.751845674E1
2.607535500E0,-6.607612999E1
2.709998208E0,-6.756042514E1
2.816773500E0,-6.708711064E1
2.923465917E0,-6.694273532E1
3.028141917E0,-6.873334167E1
3.134751292E0,-6.685998299E1
3.236768625E0,-6.726801576E1
3.343557250E0,-6.832731216E1
3.446740417E0,-6.875650320E1
3.553576458E0,-6.726164446E1
3.660369125E0,-6.876148789E1
3.764716333E0,не число
3.866731625E0,-6.757569512E1
3.973534083E0,-6.500563162E1
4.080322542E0,-6.540355459E1
4.183153167E0,-6.173177902E1
4.289983708E0,-5.604602831E1
4.396736167E0,-5.451239907E1
4.501282375E0,-6.179173846E1
4.607999708E0,-6.343813467E1
4.714731458E0,-6.158408555E1
4.819221375E0,-5.753744499E1
4.926039875E0,-5.671291966E1
5.032751583E0,-6.169848229E1
5.137334708E0,-6.208114235E1
5.244066583E0,-6.681600852E1
5.350807292E0,-6.665042189E1
5.455491667E0,-6.623612754E1
5.560754250E0,-6.599154725E1
5.667439792E0,-6.290114337E1
5.773496208E0,-5.198862948E1
5.877380750E0,-5.721363709E1
5.984152167E0,-6.091785278E1
6.089478000E0,-6.424767976E1
6.194044083E0,-6.251909238E1
6.300786333E0,-6.571682802E1
6.407441208E0,-6.185803478E1
6.509966833E0,-6.411272868E1
6.616785875E0,-6.837209911E1
6.719013208E0,-6.881522486E1
6.825727750E0,-6.776142127E1
6.932301875E0,-6.386391010E1
7.039075750E0,-6.621688646E1
7.144020042E0,-6.753073044E1
7.246419083E0,-6.894977378E1
7.351051917E0,-6.656181833E1
7.457826042E0,-6.670714770E1
7.564483833E0,-6.261547181E1
7.667712208E0,-6.283554360E1
7.773541958E0,-6.435927852E1
7.880358708E0,-6.611355451E1
7.984309667E0,-6.239268126E1
8.090958458E0,-6.658787071E1
8.197668875E0,-6.690002747E1
8.300967917E0,-6.826933949E1
8.407669542E0,-6.111985207E1
8.514376042E0,-5.427723031E1
8.619035667E0,-6.726217017E1
8.725716250E0,-6.732843210E1
8.832366333E0,-5.775086106E1
8.937146458E0,-6.357079848E1
9.043883958E0,-5.270260226E1
9.150613375E0,-5.874028866E1
9.255194208E0,-6.351948781E1
9.361187708E0,-6.821952922E1
9.467733125E0,-6.004492727E1
9.573231542E0,-6.062894597E1
9.680062917E0,-5.685794810E1
9.784333917E0,-6.541041045E1
9.889150333E0,-6.619801155E1
9.991693167E0,-6.688455514E1
1.009665629E1,-6.742384206E1
1.020102675E1,-6.747083956E1
1.030779933E1,-5.198778220E1
1.041015067E1,-6.715287204E1
1.051686050E1,-6.773177872E1
1.061961725E1,-6.054968786E1
1.072616750E1,-6.222678104E1
1.082861158E1,-6.640835175E1
1.093533950E1,-5.583597602E1
1.104215679E1,-5.796149302E1
1.114469292E1,-6.076083828E1
1.124710875E1,-6.238256656E1
1.135386221E1,-6.398362038E1
1.145656775E1,-6.425383926E1
1.156315829E1,-6.774559496E1
1.166561312E1,-6.661579641E1
1.177229762E1,не число
1.187712787E1,-6.687890593E1
1.198170179E1,-6.772055792E1
1.208403629E1,-6.547671276E1
1.219077750E1,-6.624627156E1
1.229382750E1,-6.593420624E1
1.240001783E1,-6.596470525E1
1.250579992E1,-6.706149263E1
1.261047812E1,-6.743357159E1
1.271720346E1,-6.960703769E1
1.282056471E1,-6.936269314E1
1.292717742E1,-6.797942872E1
1.303027108E1,-6.952406331E1
1.313654267E1,-6.884287383E1
1.323917546E1,-6.978147984E1
1.334382779E1,-6.751096401E1
1.345051542E1,-6.659417966E1
1.355516829E1,-6.850137315E1
1.366053771E1,-6.832961383E1
1.376727296E1,-6.820140675E1
